REACH_ID,LENGTH_M,AREA_SQKM,SPRAG14HAB,AC_WIDTH,AC_HEIGHT,SPRAG14RCH,ACW,ACH,MaskWidth
19790,29.05736,4.5358,762,0,0,12,3.8,0.4,0
19791,30.9193,4.5319,764,0,0,12,3.8,0.4,0
19792,30.24967,4.4191,764,0,0,12,3.8,0.4,0
19793,30.84276,4.4054,768,0,0,12,3.8,0.4,0
19794,30.9418,4.386,768,0,0,12,3.8,0.4,0
19795,29.21548,4.3752,770,0,0,12,3.8,0.4,0
19796,29.2904,4.3721,771,0,0,12,3.8,0.4,0
19797,30.72143,4.3568,773,0,0,12,3.8,0.4,0
19798,31.00682,4.3448,777,0,0,12,3.8,0.4,0
19799,30.84453,4.3256,781,0,0,12,3.8,0.4,0
19800,30.06504,4.3106,781,0,0,12,3.8,0.4,0
19801,29.22637,4.2867,782,0,0,12,3.8,0.4,0
19802,29.47852,4.2546,782,0,0,12,3.8,0.4,0
19803,30.01297,4.2205,783,0,0,12,3.8,0.4,0
19804,30.2353,4.1804,785,0,0,12,3.8,0.4,0
19805,29.99077,4.1564,789,0,0,12,3.8,0.4,0
19806,29.56473,4.0987,793,0,0,12,3.8,0.4,0
19807,29.83997,4.0807,793,0,0,12,3.8,0.4,0
19808,30.10762,4.0589,797,0,0,12,3.8,0.4,0
19809,31.0437,4.0068,797,0,0,12,3.8,0.4,0
19810,30.31395,4.0036,799,0,0,12,3.8,0.4,0
19811,30.06704,3.9807,801,0,0,12,3.8,0.4,0
19812,30.32285,3.9634,803,0,0,12,3.8,0.4,0
19813,31.05647,3.9484,806,3.5,0.3,12,3.8,0.4,0
19814,30.0969,3.9157,808,0,0,12,3.8,0.4,0
19815,30.27092,3.8995,810,0,0,12,3.8,0.4,0
19816,29.41031,3.8725,811,0,0,12,3.8,0.4,0
19817,30.61847,3.8554,812,0,0,12,3.8,0.4,0
19818,30.95828,3.8299,814,0,0,12,3.8,0.4,0
19819,30.37775,3.7924,817,0,0,12,3.8,0.4,0
19820,29.14892,3.7845,818,0,0,12,3.8,0.4,0
19821,29.62079,3.7541,818,0,0,12,3.8,0.4,0
19822,30.06272,3.7413,818,0,0,12,3.8,0.4,0
19823,29.69525,3.7037,820,0,0,12,3.8,0.4,0
19824,29.44182,3.6771,820,0,0,12,3.8,0.4,0
19825,29.18984,3.6474,822,0,0,12,3.8,0.4,0
19826,30.89285,3.6328,822,0,0,12,3.8,0.4,0
19827,29.63722,3.5913,826,3.2,0.3,12,3.8,0.4,0
19828,30.49879,3.5654,826,3.2,0.3,12,3.8,0.4,0
19829,28.96434,3.5297,827,0,0,12,3.8,0.4,0
19830,29.68187,3.4822,831,0,0,12,3.8,0.4,0
19831,29.81841,3.4688,833,0,0,12,3.8,0.4,0
19832,29.94264,3.4151,836,3.7,0.6,12,3.8,0.4,0
19833,30.17414,3.3698,840,0,0,12,3.8,0.4,0
19834,30.11326,3.3576,840,0,0,12,3.8,0.4,0
19835,29.1117,3.3009,844,0,0,12,3.8,0.4,0
19836,29.11039,3.2844,844,0,0,12,3.8,0.4,0
19837,29.26573,3.2766,846,3,0.3,12,3.8,0.4,0
19838,31.06732,3.2528,847,0,0,12,3.8,0.4,0
19839,30.94784,3.242,848,0,0,12,3.8,0.4,0
19840,30.2953,3.2279,852,0,0,12,3.8,0.4,0
19841,30.27809,3.1659,852,0,0,12,3.8,0.4,0
19842,30.93661,3.1655,852,0,0,12,3.8,0.4,0
19843,30.82639,3.1373,852,0,0,12,3.8,0.4,0
19844,29.66287,3.1302,852,0,0,12,3.8,0.4,0
19845,30.49032,3.1194,852,0,0,12,3.8,0.4,0
19846,29.98622,3.1042,852,0,0,12,3.8,0.4,0
19847,29.75385,3.0866,860,0,0,12,3.8,0.4,0
19848,31.28818,3.0757,860,0,0,12,3.8,0.4,0
19849,29.09346,3.0489,860,0,0,12,3.8,0.4,0
19850,30.60049,3.0307,861,0,0,12,3.8,0.4,0
19851,28.92937,2.9268,862,0,0,12,3.8,0.4,0
19852,29.86304,2.9168,862,0,0,12,3.8,0.4,0
19853,29.929,2.9082,862,0,0,12,3.8,0.4,0
19854,30.195,2.8897,862,0,0,12,3.8,0.4,0
19855,29.81305,2.8636,864,0,0,12,3.8,0.4,0
19856,29.87793,2.8513,864,0,0,12,3.8,0.4,0
19857,30.10933,2.8441,864,0,0,12,3.8,0.4,0
19858,30.72205,2.8275,866,2.5,0.3,12,3.8,0.4,0
19859,29.09005,2.8144,867,0,0,12,3.8,0.4,0
19860,29.82727,2.7933,867,0,0,12,3.8,0.4,0
19861,30.54872,2.7751,867,0,0,12,3.8,0.4,0
19862,30.94664,2.7084,867,0,0,12,3.8,0.4,0
19863,29.28791,2.7047,867,0,0,12,3.8,0.4,0
19864,30.73204,2.6904,867,0,0,12,3.8,0.4,0
19865,29.36642,2.6758,867,0,0,12,3.8,0.4,0
19866,29.20598,2.6529,867,0,0,12,3.8,0.4,0
19867,30.55879,2.6315,868,0,0,12,3.8,0.4,0
19868,30.06576,2.6098,869,0,0,12,3.8,0.4,0
19869,30.96038,2.5395,871,0,0,12,3.8,0.4,0
